scenario,month,service,quantity,unit,unit_price_usd,gross_usd,recurring_allowance,net_usd,service_cost_inr_at_100_excluding_gst,notes
expected,1,Step Functions Standard,3300,state transitions,0.000025,0.082500,4000 transitions,0.000000,0.00,"66 workflows x 50 transitions"
expected,1,Lambda duration,9900,GB-seconds,0.0000166667,0.165000,400000 GB-seconds,0.000000,0.00,"66 workflows x 30 invocations x 1 GB x 5 seconds"
expected,1,Lambda requests,1980,requests,0.0000002,0.000396,1000000 requests,0.000000,0.00,"Recurring allowance eligibility must be confirmed"
expected,1,API Gateway HTTP API,660,requests,0.000001,0.000660,"Time-limited new-account offer excluded",0.000660,0.07,"Payload and transfer multipliers excluded"
expected,1,DynamoDB on-demand writes,6600,write request units,0.000000625,0.004125,"No allowance assumed",0.004125,0.41,"Transaction and item-size multipliers excluded"
expected,1,DynamoDB on-demand reads,13200,read request units,0.000000125,0.001650,"No allowance assumed",0.001650,0.17,"Consistency and item-size multipliers excluded"
expected,1,S3 Standard storage run rate,2.578125,GiB at month end,0.023,0.059297,"No allowance assumed",0.059297,5.93,"66 workflows x two 20 MiB files"
expected,1,Parameter Store provider SecureStrings,12,standard parameter-months,0.00,0.000000,"No additional Parameter Store charge",0.000000,0.00,"Four separate credentials x three environments"
expected,1,Parameter Store employee OAuth SecureStrings,9,standard parameter-months,0.00,0.000000,"No additional Parameter Store charge",0.000000,0.00,"Three employees x three isolated environments"
expected,1,KMS requests for SecureStrings,0,requests,0.000000,,"Applicable KMS free allowance assumed",0.000000,0.00,"Replace zero with measured decrypt/encrypt requests if allowance is exceeded"
expected,1,CloudWatch log ingestion,3,GB,0.50,1.500000,5 GB,0.000000,0.00,"Owner expects negligible cost; retain below free allowance"
expected,1,CloudWatch standard alarm metrics,10,alarm metric-months,0.10,1.000000,10 alarm metric-months,0.000000,0.00,"Keep at or below free allowance"
expected,1,Net service subtotal,1,monthly forecast,,,"See component rows",0.065732,6.57,"Excludes transfer backups archival retrieval and unmeasured KMS requests"
expected,1,Approved planning safety margin,20,percent,,,"Project-owner approved",0.013146,1.31,"Applied to net service subtotal"
expected,1,Total service cost with safety margin,1,monthly forecast,,,"Subtotal plus 20 percent",0.078878,7.89,"GST excluded from ₹300 cap"
expected,6,Total service cost with safety margin,1,monthly run rate,,,"S3 retained storage reaches 15.47 GiB",0.434660,43.47,"20 percent margin applied; other expected usage unchanged"
expected,12,Total service cost with safety margin,1,monthly run rate,,,"S3 retained storage reaches 30.94 GiB",0.861597,86.16,"20 percent margin applied; no archival transition"
worst-case-attachment,1,Step Functions Standard,6600,state transitions,0.000025,0.165000,4000 transitions,0.065000,6.50,"132 workflows x 50 transitions"
worst-case-attachment,1,Lambda duration,19800,GB-seconds,0.0000166667,0.330001,400000 GB-seconds,0.000000,0.00,"132 workflows x 30 invocations x 1 GB x 5 seconds"
worst-case-attachment,1,Lambda requests,3960,requests,0.0000002,0.000792,1000000 requests,0.000000,0.00,"Recurring allowance eligibility must be confirmed"
worst-case-attachment,1,API Gateway HTTP API,1320,requests,0.000001,0.001320,"Time-limited new-account offer excluded",0.001320,0.13,"Payload and transfer multipliers excluded"
worst-case-attachment,1,DynamoDB on-demand writes,13200,write request units,0.000000625,0.008250,"No allowance assumed",0.008250,0.83,"Transaction and item-size multipliers excluded"
worst-case-attachment,1,DynamoDB on-demand reads,26400,read request units,0.000000125,0.003300,"No allowance assumed",0.003300,0.33,"Consistency and item-size multipliers excluded"
worst-case-attachment,1,S3 Standard storage run rate,25.781250,GiB at month end,0.023,0.592969,"No allowance assumed",0.592969,59.30,"132 workflows x ten 20 MiB files"
worst-case-attachment,1,Parameter Store provider SecureStrings,12,standard parameter-months,0.00,0.000000,"No additional Parameter Store charge",0.000000,0.00,"Four separate credentials x three environments"
worst-case-attachment,1,Parameter Store employee OAuth SecureStrings,9,standard parameter-months,0.00,0.000000,"No additional Parameter Store charge",0.000000,0.00,"Three employees x three isolated environments"
worst-case-attachment,1,KMS requests for SecureStrings,0,requests,0.000000,,"Applicable KMS free allowance assumed",0.000000,0.00,"Replace zero with measured decrypt/encrypt requests if allowance is exceeded"
worst-case-attachment,1,CloudWatch log ingestion,5,GB,0.50,2.500000,5 GB,0.000000,0.00,"Owner expects negligible cost; retain at free allowance"
worst-case-attachment,1,CloudWatch standard alarm metrics,10,alarm metric-months,0.10,1.000000,10 alarm metric-months,0.000000,0.00,"Keep at or below free allowance"
worst-case-attachment,1,Net service subtotal,1,monthly forecast,,,"See component rows",0.670839,67.08,"Excludes transfer backups archival retrieval and unmeasured KMS requests"
worst-case-attachment,1,Approved planning safety margin,20,percent,,,"Project-owner approved",0.134168,13.42,"Applied to net service subtotal"
worst-case-attachment,1,Total service cost with safety margin,1,monthly forecast,,,"Subtotal plus 20 percent",0.805007,80.50,"GST excluded from ₹300 cap"
worst-case-attachment,6,Total service cost with safety margin,1,monthly run rate,,,"S3 retained storage reaches 154.69 GiB",4.362819,436.28,"Exceeds ₹300 cap; archival lifecycle or policy change required"
worst-case-attachment,12,Total service cost with safety margin,1,monthly run rate,,,"S3 retained storage reaches 309.38 GiB",8.632194,863.22,"Exceeds ₹300 cap; archival lifecycle or policy change required"
